City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,alotau,-10.3069,150.4462,298.64,85,100,2.6,PG,1738089905
241,fort-shevchenko,44.5086,50.263,275.43,72,10,4.78,KZ,1738089907
242,sagang,10.3612,123.0722,295.17,86,100,2.44,PH,1738089908
243,norfolk,42.1668,-71.2495,274.34,33,3,4.02,US,1738089720
244,mount gambier,-37.8333,140.7667,288.02,58,100,3.5,AU,1738089734
245,vila franca do campo,37.7167,-25.4333,291.42,99,50,6.6,PT,1738089911
246,qeshm,26.9581,56.2719,294.0,65,0,8.95,IR,1738089912
247,merizo village,13.2658,144.6691,299.47,78,100,7.74,GU,1738089913
248,mazatlan,23.2167,-106.4167,298.13,64,100,1.34,MX,1738089912
249,koysinceq,36.0821,44.6278,281.2,49,0,2.31,IQ,1738089916
250,irymple,-34.25,142.1667,289.31,62,0,1.79,AU,1738089917
251,datong,40.0936,113.2914,258.84,81,7,0.28,CN,1738089918
252,cape coast,5.1053,-1.2466,300.11,83,4,4.61,GH,1738089919
253,college,64.8569,-147.8028,255.12,71,75,0.0,US,1738089921
254,murray bridge,-35.1167,139.2667,286.43,73,4,4.17,AU,1738089922
255,new norfolk,-42.7826,147.0587,282.55,91,3,1.13,AU,1738089923
256,manaure,11.7751,-72.4445,304.35,51,100,11.05,CO,1738089924
257,selfoss,63.9331,-20.9971,265.95,88,22,2.83,IS,1738089925
258,tura,25.5198,90.2201,287.57,67,0,1.18,IN,1738089926
259,udachny,66.4167,112.4,241.76,100,99,1.68,RU,1738089927
260,praya,14.9215,-23.5087,300.45,44,0,7.72,CV,1738089929
261,pangai,-19.8,-174.35,299.21,78,75,1.03,TO,1738089930
262,sandnessjoen,66.0217,12.6316,275.21,87,75,3.6,NO,1738089931
263,ambon,-3.6954,128.1814,302.17,100,40,2.57,ID,1738089933
264,urucui,-7.2294,-44.5561,303.38,62,100,2.27,BR,1738089934
265,vangaindrano,-23.35,47.6,299.28,93,100,3.39,MG,1738089935
266,nyagan,62.1406,65.3936,252.73,99,100,1.12,RU,1738089936
